WAREHOUSE_CODE,CENTRAL_PINCODE,HOUR,DELIVERY_TYPE,ETA_TO_MEAN,ETA_TO_P90,TAT_MEAN,TAT_P90
1.0,3.0,16,non_rapid,125.21428571428572,74.19999999999999,26.0,23.0
1.0,3.0,16,rapid,0.3246753246753247,0.0,0.4597402597402597,0.0
1.0,3.0,17,non_rapid,57.71428571428572,46.0,36.285714285714285,25.0
1.0,3.0,17,rapid,0.7562862669245648,0.0,0.5918762088974855,0.0
1.0,3.0,18,non_rapid,94.8,53.0,20.5,24.0
1.0,3.0,18,rapid,0.3333333333333333,0.0,0.8877721943048577,0.0
1.0,3.0,19,non_rapid,94.55555555555556,46.8,27.944444444444443,21.0
1.0,3.0,19,rapid,1.0260869565217392,0.0,1.7826086956521738,0.0
1.0,3.0,20,non_rapid,129.58333333333334,104.0,54.708333333333336,22.0
1.0,3.0,20,rapid,0.765079365079365,0.0,1.1206349206349209,0.0
1.0,3.0,21,non_rapid,66.75862068965517,43.8,19.41379310344828,17.0
1.0,3.0,21,rapid,0.6431451612903226,0.0,1.6774193548387095,0.0
1.0,3.0,22,non_rapid,54.73333333333333,43.0,30.53333333333333,20.0
1.0,3.0,22,rapid,0.7566964285714286,0.0,1.5647321428571428,0.0
1.0,3.0,23,non_rapid,90.16666666666669,68.0,45.66666666666666,41.5
1.0,3.0,23,rapid,0.3475609756097561,0.0,1.725609756097561,0.0
2.0,3.0,0,non_rapid,32.166666666666664,41.0,27.166666666666668,27.0
2.0,3.0,1,non_rapid,126.0,125.99999999999996,34.0,40.0
2.0,3.0,2,non_rapid,19.0,21.0,49.0,41.0
2.0,3.0,2,rapid,0.0,0.0,9.6,10.0
2.0,3.0,3,non_rapid,31.5,33.8,32.5,32.5
2.0,3.0,4,non_rapid,43.0,43.0,57.0,57.0
2.0,3.0,6,non_rapid,41.0,41.0,60.0,60.0
2.0,3.0,6,rapid,39.0,39.0,4.0,4.0
2.0,3.0,7,non_rapid,75.58823529411765,39.0,19.11764705882353,10.0
2.0,3.0,7,rapid,8.916666666666666,0.0,10.583333333333334,5.0
2.0,3.0,8,non_rapid,107.8125,39.0,20.40625,18.0
2.0,3.0,8,rapid,3.091743119266055,0.0,3.963302752293578,0.0
2.0,3.0,9,non_rapid,112.92592592592592,39.0,29.14814814814815,29.0
2.0,3.0,9,rapid,1.3141361256544504,0.0,2.8010471204188483,0.0
2.0,3.0,10,non_rapid,61.66666666666666,37.8,24.766666666666666,30.0
2.0,3.0,10,rapid,0.7964376590330788,0.0,1.6666666666666667,0.0
2.0,3.0,11,non_rapid,122.3157894736842,43.0,13.342105263157896,4.5
2.0,3.0,11,rapid,2.4662447257383966,0.0,4.122362869198312,0.0
2.0,3.0,12,non_rapid,77.02941176470588,43.0,28.852941176470587,30.5
2.0,3.0,12,rapid,0.3330316742081448,0.0,2.1411764705882352,0.0
2.0,3.0,13,non_rapid,127.5,86.19999999999999,24.363636363636363,25.5
2.0,3.0,13,rapid,1.403690888119954,0.0,3.275663206459054,1.0
2.0,3.0,14,non_rapid,74.6,33.0,29.8,27.5
2.0,3.0,14,rapid,1.2620253164556965,0.0,2.1632911392405063,0.0
2.0,3.0,15,non_rapid,95.92857142857144,46.0,25.428571428571427,26.0
2.0,3.0,15,rapid,0.7318518518518519,0.0,1.357037037037037,0.0
2.0,3.0,16,non_rapid,142.65217391304347,287.0,21.695652173913043,21.0
2.0,3.0,16,rapid,0.2321428571428571,0.0,1.2788461538461535,0.0
2.0,3.0,17,non_rapid,65.625,30.0,28.45833333333333,25.5
